Id,SalePrice
2658,127821.0431482695
2718,161977.51974039045
2414,214928.40338345626
1989,110212.71137861293
625,182568.9779783088
333,91226.23658148541
1327,104934.43672229398
858,150468.65891181104
95,176865.731477665
1568,160562.3284056918
2482,149094.9341537239
1364,122897.14782476888
2584,152631.09090839245
818,277426.03513126983
2673,156636.39879592115
2089,115956.06809467141
1297,142776.4009729636
790,120725.26321803202
2616,193966.57701104094
720,181755.2553138857
222,147308.52179864567
557,125854.88462800175
1148,193252.61663326016
2766,171089.62536238556
534,165141.61917862028
1452,114280.19029297814
630,136107.70602882886
2648,131439.34966986574
125,168265.51413692496
1904,61290.77225680594
1670,107711.22194295345
756,105570.31064503944
717,210422.6204313949
1032,159089.42452710573
852,207338.46037435206
1731,176023.1863230793
2639,126312.9770752886
2071,89093.0581561111
1267,110849.03877823436
1851,178889.52851981873
567,179586.5630324789
2439,199085.60944225828
1898,147775.11086500064
647,163169.55628113105
2256,207316.20394143378
979,96292.92871953337
1444,214969.45080349373
2485,127245.08187001792
157,129569.11560863294
88,129077.71733320277
2003,109128.52529780517
186,192677.1095619407
1425,228403.47776435278
2695,127814.17341233877
738,111918.12261798873
395,140400.919489889
1353,170451.7241319421
1878,137750.58587719206
390,158676.55936695612
1456,225420.50482873255
1103,316465.44578129647
1387,137855.4296425842
2070,141678.5055079401
1199,167429.181335002
2479,176728.60876758114
501,310985.4452777584
2362,91415.57471241931
1718,202142.39606157376
2188,96389.70799001324
1483,154520.19777402154
2557,102597.58108632757
437,351630.0771919812
2224,202963.0390169194
1628,165263.88256758725
397,139271.56188190103
587,203876.39687595845
2182,596366.5134765538
971,131162.2605599495
2611,137438.60023627436
1887,91609.79986222072
2399,379065.7158980757
2148,191618.4539984126
304,124747.63784782782
1997,130408.39524000254
2817,121042.39810793546
1431,201426.6355559969
427,377404.78032189934
263,119797.81627727678
598,183166.7482505288
2895,225662.68757504766
687,122877.5620262769
1822,132661.69032117218
2191,113341.03217951868
179,114379.313454451
1009,225269.89205840346
2010,131386.69865063933
1991,135494.80852559872
1411,194999.65139335234
1721,227765.26375869958
1144,192025.26106981107
593,214480.0049138472
575,310566.5055122453
1249,179334.74320408874
1604,122624.09766773782
1064,485234.2329732614
1923,153988.204929849
1988,100214.37799260495
2325,170101.16696469852
114,203692.53471607555
2700,172825.696010614
217,141607.71586418088
343,180068.05432632822
386,221502.52636785049
2005,114298.44750631093
2908,135612.14578972952
1814,241903.7443643558
2446,499226.68679456407
208,130248.96377295186
1679,115148.63089216503
822,363133.3766260757
6,191898.29032040143
1781,409483.6087086769
2397,299390.4389242538
2340,329028.7409968608
1618,164529.20308453028
2843,160205.76514441558
1061,368941.2429830574
2786,118441.45586468981
1935,132430.19941352177
1341,114145.71039676406
521,261215.56826177047
2136,145245.1146095455
996,211370.4953875906
227,155808.67946571973
135,179387.22291823983
1167,162988.1905971494
294,230294.05779682106
1776,193262.25704507524
540,156394.6428913902
1717,211816.43315948942
2303,123026.34149709842
116,176569.0746581038
127,133662.76390619515
1371,133790.60432980495
1014,158370.52273985025
1507,87394.81828861739
702,124140.27910451505
750,152151.99066932662
261,151697.9676950448
1559,61722.309028056
577,209354.26773884863
2812,188185.49812913183
2080,160736.45407986047
1368,97912.35664824612
2376,124531.40983151631
659,108921.9642605873
1235,138872.79464214033
332,76876.30577190212
1917,133643.64617596343
2094,252756.6735597332
1460,256223.7794793561
1471,223828.80503459636
1509,122202.93772357788
1922,129685.19929836996
433,487166.8789091011
460,303361.19547261146
1116,231132.28887696037
1137,158847.9336987216
53,159976.94992254162
2354,256565.74699070535
1475,188549.50495682153
1761,534436.7573147296
842,142918.60200648714
2739,195163.53725576273
2509,143191.89202892795
1007,195503.5755352239
2610,160311.20890857594
1952,97391.69588491737
2719,164150.8291112251
2921,90783.15407445526
1966,155858.5163641594
292,124919.79999846134
1204,189712.45023707516
1829,244828.14915480666
2419,191814.80679540877
391,148928.21448496304
798,110122.49492270919
481,194620.6419834911
193,193423.02650150887
555,119943.1412443531
899,55991.87259079814
2357,187024.54520906374
