Id,SalePrice
2658,140253.99386211555
2718,151420.7414311585
2414,224546.1149472614
1989,119975.74112721998
625,183240.20344656217
333,81061.38851114386
1327,103926.45885416772
858,155662.0374174032
95,165283.14947257144
1568,165661.97383472067
2482,149715.59400655678
1364,137122.95265323948
2584,149099.43659640732
818,292254.94413039903
2673,143344.58715619752
2089,129344.03882763
1297,150635.79718397674
790,120232.68361967779
2616,196852.9493693586
720,179073.19984087814
222,163377.62440167926
557,125698.03584740567
1148,176869.7965346569
2766,168092.3680221592
534,169810.81268720794
1452,118610.12225324125
630,111894.4160500511
2648,130438.98552300502
125,162245.52663917397
1904,43255.50366161228
1670,102056.81171751954
756,98432.80155953066
717,203603.0317797528
1032,143328.28069596505
852,218116.22857613198
1731,168990.6787155636
2639,113010.33813353558
2071,109170.9289510788
1267,135127.84764000215
1851,190918.9667311178
567,172708.04494362324
2439,206896.59266959433
1898,152578.85889357165
647,149377.63698202
2256,203719.130818684
979,92231.11019754293
1444,217157.98123747576
2485,132955.3288240868
157,137274.28010458592
88,118101.98776988918
2003,99604.08365416434
186,209498.64359753265
1425,226918.22461126966
2695,128325.88850981067
738,87215.7532828087
395,155728.94617977506
1353,170954.09345171019
1878,140052.3210132306
390,162567.47887654067
1456,230755.76172449265
1103,309981.9618565652
1387,125334.08746090764
2070,152904.2897325256
1199,165286.4851191421
2479,172275.93310966413
501,321459.9800079067
2362,88210.37562761968
1718,204567.8583027888
2188,77918.65885669971
1483,150657.09102931642
2557,99646.10718404735
437,340970.7139639773
2224,200124.59585004824
1628,172461.8541789751
397,139476.14324072236
587,192076.43235924863
2182,524523.0888674692
971,151858.69277341408
2611,138494.7391195814
1887,96810.45743649942
2399,380618.656022566
2148,192240.28134516277
304,129861.0698953874
1997,121088.44086450571
2817,98126.17733812146
1431,227227.31487711554
427,375175.6784899493
263,130001.69280274725
598,169571.1390639986
2895,232302.4615264939
687,127447.63490083185
1822,134750.4868084062
2191,104260.70459482912
179,123185.0116567656
1009,212650.97777740564
2010,146004.20466531138
1991,128406.5815746102
1411,204205.8597737674
1721,231021.3768678389
1144,196851.42218832334
593,216832.61786628247
575,334669.7668673948
1249,164711.75755770784
1604,123134.39369827439
1064,462514.0243070831
1923,143907.39044997166
1988,119488.07075278484
2325,172852.80147314374
114,186021.819100864
2700,170263.18040765263
217,140157.7034171226
343,178810.34854424594
386,216488.62006704742
2005,107267.29676444805
2908,138557.48287256458
1814,219365.00106116384
2446,462778.4851244552
208,125415.29914273671
1679,111113.64251561626
822,344582.2413637099
6,195367.84659863764
1781,384948.94877290237
2397,315150.1298997947
2340,309389.97408361663
1618,173539.092836007
2843,135667.77208732395
1061,368351.206932032
2786,116103.61416823836
1935,136331.22474965872
1341,114914.12963224342
521,251946.32451394177
2136,132519.4574728792
996,215772.81018373475
227,151561.31860232074
135,176227.3618211164
1167,162222.29513983964
294,226923.20965380233
1776,196609.3017806632
540,161545.77149282699
1717,211807.1092437622
2303,130535.5759891565
116,181598.58830090496
127,149141.5441022797
1371,145920.54697390902
1014,135858.72085510055
1507,109365.79188381485
702,110905.4440048479
750,155513.78162220283
261,142379.73908434412
1559,48519.8870730428
577,218628.43154737307
2812,185716.5484030107
2080,158963.39219530858
1368,95287.80565864057
2376,116661.00454183621
659,113248.58251159242
1235,136115.74722450553
332,69045.30541991768
1917,140355.34954325785
2094,260844.1031961938
1460,256668.76193551265
1471,230487.30675481318
1509,118487.34057950415
1922,133928.68536238815
433,460170.5717244387
460,288119.77782093745
1116,235934.2541004913
1137,157647.2405802072
53,173310.1051494805
2354,265589.7692756306
1475,192826.546955226
1761,439686.52367550426
842,143751.5895256307
2739,181605.77781725628
2509,144001.42357971496
1007,199014.38244663703
2610,178662.69663129875
1952,105260.80544497282
2719,149559.52075761906
2921,75098.82596125337
1966,147736.86577256676
292,112870.73661578912
1204,191079.1992761643
1829,270343.63928239956
2419,195723.45728062803
391,153228.99318480538
798,106636.26745499414
481,199776.03344946564
193,185012.10740703891
555,127015.91411767155
899,50867.53750024643
2357,190595.14512808144
328,132139.1108201926
1356,114415.36666354188
1154,98994.87935246131
1730,176696.4138956078
2249,175508.6489173302
1119,277236.47697610594
2856,137694.4772570841
1394,126500.32428484946
2587,125612.46919469326
61,328577.47689706273
2661,171236.04910004768
2711,129991.6523272011
1147,178801.17090858147
